id,archived,import_id,import_origin,process_instance_id,version,created_on,updated_on,attrs,spec_key,spec_value,created_by,updated_by,product_id
1,,,,,0,2026-06-05 11:23:40.405710,,,Материал,Ольха,1,,1
2,,,,,0,2026-06-05 11:23:40.405710,,,Покрытие,Лак,1,,1
3,,,,,0,2026-06-05 11:23:40.405710,,,Кол-во ладов,22,1,,1
4,,,,,0,2026-06-05 11:23:40.406710,,,Кол-во звукоснимателей,3,1,,1
5,,,,,0,2026-06-05 11:29:23.296238,,,Количество струн,6,1,,2
6,,,,,0,2026-06-05 11:30:17.080046,,,Тип звукоснимателей,Humbucker,1,,3
7,,,,,0,2026-06-05 11:31:09.107434,,,Количество клавиш,88,1,,4
8,,,,,0,2026-06-05 11:31:57.617875,,,Диапазон частот,"50–15,000 Гц",1,,5
9,,,,,0,2026-06-05 11:32:43.639572,,,Мощность,100 Вт,1,,6
10,,,,,0,2026-06-05 11:33:34.410214,,,Диаметр динамика,"12""",1,,7
